Id,Verified,Followers,Region
haydenhooper01,false,3427,Texas
ZenfinityDesign,false,14649,Ohio
wheeekmom,false,691,Georgia
jamesabloom,false,629,Illinois
jeezyjeezy1,false,597,
IsraelStuartone,false,1185,Texas
Karl_E_B,false,515,Missouri
TrumpOrAmerica,false,1065,
NotABot4Now,false,190,
jenniferclmn,false,1222,Virginia
nicolepagelee,false,2341,Virginia
DoriMuetz,false,21157,Wisconsin
gobles,false,857,Pennsylvania
RBWaters1975,false,1491,Iowa
AtomicRikkiTiki,false,2716,
xx2geexx,false,394,New York
shelleyt72,false,974,Texas
srvrules,false,173,Ohio
ciarokee,false,2015,Florida
HotMessJunkie,false,1096,
HipoldmaidCindy,false,676,Tennessee
wportusa,false,3443,
SethCL,false,6491,Florida
JerseyPatriots,false,1629,New Jersey
BertelsmannFdn,false,3882,District of Columbia
justinmoe1,true,16804,Connecticut
ConversationUS,true,54530,Massachusetts
SheilaLAnderson,false,58,South Carolina
MartiLHanson,false,513,Florida
CoreyTheTruth87,false,976,Tennessee
goldtoochunky,false,354,Texas
TheSWPrincess,false,71230,
jimsmith1944,false,6351,Ohio
ot_ford,false,1336,
KyivCassandra,false,135,
LindseyGrahamSC,true,1881249,
LarrySharpe,true,31229,New York
CrissCrosse,false,871,
WVA_Patriot,false,212,Virginia
lainierowell,false,3707,California
damomba,false,405,
ScottMonahan,false,1646,Ohio
ui_CHHE,false,30,Idaho
mattyhandsome,false,18,New York
LCHC_CA,false,3084,California
RaeMargaret61,false,33826,Wisconsin
lisakashinsky,false,2446,Massachusetts
NM_Barbarian,false,1057,New Mexico
Ojokelv,false,1445,Maryland
jdennisfootball,false,161,South Carolina
WiserMadam,false,683,New York
aaronmyers,false,23970,District of Columbia
Firefly44,false,7865,Texas
AndraBrito12,false,1972,Georgia
jamaicncreolesd,false,677,Louisiana
DerekCastro84,false,37,Texas
bradpomerance,false,3640,California
spicychangsauce,false,826,Michigan
CarolGa72053562,false,54,Alaska
kevinbruce,false,2051,Maryland
geoff_bernz,false,25678,
MAGADebWWG1WGA,false,5283,
carrerapulse,false,20855,California
Waterdancer99,false,10776,Oklahoma
greggieboyLRG,false,687,New York
dsilverman,true,21831,Texas
MariaViscovich,false,258,New York
LabelValue,false,1199,Florida
species_x,false,34028,
CTLatinonews,false,1306,Connecticut
NancyCurtner,false,922,Ohio
ChuckMa10442409,false,168,Maryland
pipelinerW,false,14,Tennessee
chris_kubica,false,58,North Carolina
mshaleythom,false,7,California
hohn44,false,4451,
Sadjaxx,false,1121,Florida
MsDuranAHS,false,123,Virginia
JonathanTill1,false,220,Florida
amcarmela2,false,519,Texas
Matt4VA,false,7621,Virginia
EReldeonk,false,1077,
bigtex54,false,3374,Texas
mitch_toland_jr,false,312,Maryland
