Source,Target,Time
Raffmaster,cognitivediss00,1603918743000
ConscienceCit,sksskanz,1601441723000
Mononoke__Hime,,1604379137000
LauraPe14718353,tomfitton,1596487129000
CamCox12,saguaro_hs,1604054963000
icedinarizona,adjunctprofesor,1601470129000
SuzeeSusie,wellisz,1599873590000
deaschroeder,jen_rice_,1604368681000
justlookingha,cbs_herridge,1603151288000
chenmarie39,victoensing,1600355229000
Grav1,james_barragan,1603859176000
anitasleep,ap_politics,1596614372000
PewStates,levinecarrie,1604369710000
OHDems,betsyraderoh,1603061164000
blessedbutch,mpaigelacy,1603729687000
theoriginalCP1,newsmax,1599960586000
rogerwatson92,danscavino,1604368138000
annejonesmn,sumoh7,1601109316000
DCNewsPhotog,wusa9⁩,1603845790000
BeSeriousUSA,sumoh7,1601409480000
Gwydion620,wflajustin,1603861353000
KimsGrinning,quintilian376,1601484044000
Donna78700883,zeusfanhouse,1602826195000
DeirdreJones54,commoncausepa,1601485523000
BruceMsgbw96ret,supportallred,1596574112000
pdfernandez2000,tonygonzales4tx,1603163431000
anthonycalomeni,ryandetrick,1603916945000
YWCAUSA,ywcacharlotte,1603742594000
mirandadevine,rasmussen_poll,1603923497000
FPE66,realdonaldtrump,1603090214000
JamesJo16343311,joebiden,1602905424000
alteileen,amandablount2,1603780344000
thescrewreview,presssec,1601594700000
JayGrizly,timkennedymma,1600155975000
hapydaiz,realdonaldtrump,1604102518000
FogBelter,cnn,1596672975000
LibertatemFirst,keithmalinak,1602967501000
BruceDCollins,senategop,1602913003000
perception_iq,dabarbieridonna,1601188947000
HolyJoe59,joebiden,1600102232000
Katie_Sims13,realdonaldtrump,1596649939000
MAGAmang,cbs_herridge,1602983193000
ego_biggest,champlifeboxing,1604355871000
21law,maddow,1601476182000
jrflyod,jorgensen4potus,1596497755000
brian_edwards63,4a_of,1601169751000
drjackrasmus,,1600041645000
littletoright,tomfitton,1596267523000
ComfortSpeak,repspanberger⁩,1596398958000
RobinCotten2,tomfitton,1596690450000
cyanogenmoduser,prestontvnews,1603517168000
OldManLighting,mariettadaviz,1603867723000
karenann915,victoensing,1600196691000
kimellis9,ap,1604034573000
RoNa_104,realdonaldtrump,1604103211000
marinecorp7375,realcandaceo,1604298994000
Sciguy999,gop,1603892750000
RealOrbit,joebiden,1600117775000
realTyMJohnston,,1603732420000
bigledmachine,georgesoros,1600379685000
BobLancia,lancia4congress,1598024147000
raymondafoss,drbiden,1603119671000
JustinKCarr,,1604075789000
n_yang,propublica,1604340962000
stiel,rickhasen,1604302874000
kirbycat,kevincorke,1603515641000
cyanogenmoduser,realdonaldtrump,1603517168000
goldtoochunky,reuters,1603517555000
Pennylogger,99freemind,1603950421000
mizzzckball,seanspicer,1602881515000
123puglet,joebiden,1600112939000
JaniceAsylum,mendoza4az,1603610634000
taubkelly,conservamomusa,1603866622000
maga4trumpUSA,jodybelcher7,1604355087000
NancyPerlman1,floydphilonise,1603866275000
dreaminginpoems,realdonaldtrump,1600307087000
SOscarboy2,warroom2020,1603693288000
lis_bri,ericbolling,1602976894000
RoseIsRational,thejusticedept,1602986271000
EpiRebecca,ap_politics,1596666775000
Jennife34195249,peoples_pundit,1604084887000
GifAgain,,1603678534000
VeroBalderasI,w7voa,1603976778000
NancyPerlman1,1chance2020,1603866275000
BrandsenZack,tobiasread,1602829654000
chomppadub,timkennedymma,1600115373000
LittleLuLu4755,,1604358906000
