Id,Verified,Followers,Region
Cade_One,false,1171,Ohio
_ACHP,false,2598,District of Columbia
MadelaineNels15,false,130,Alabama
JmJohnny64,false,2467,Virginia
lukastyle,false,1542,New York
WhatTheFukBitch,false,2496,Georgia
MarieEddy13,false,292,Nevada
cutiepetuti18,false,31,Florida
BCCLora,false,772,
Trumpster4Trump,false,15853,
AlanGamino1997,false,215,Texas
PascoDems,false,1048,
gsaleguy,false,1665,Oregon
michaeljf12289,false,61,New York
iammamacheryl,false,49,
Erkal77,false,73,Colorado
1jasliz,false,2431,
cowboysfanms1,false,139,Nevada
SHOPWHATUWANT2,false,1018,
cupcake93065,false,488,Texas
missb62,false,10269,Colorado
OCpropertysales,false,5454,California
tazmac55,false,3904,
KatelynHarrop,false,1272,Iowa
LauraPe14718353,false,41,Florida
TheDemCoalition,true,399128,District of Columbia
NHale1776,false,4188,
Conunderground,false,7665,New York
Candace183672,false,151,
LittleLuLu4755,false,767,Arizona
YWCAUSA,true,17089,District of Columbia
TexanAlliKat,false,48578,
IUCB,false,1786,Indiana
ChaseStratton4,false,79,Vermont
latigbo,false,1214,
Catalonia_US,true,1427,
restorationpac,false,6230,Illinois
espinoc5540,false,3203,Georgia
JeannetteHawke1,false,2966,
PariahRocks,false,226,Oregon
JaniceAsylum,false,3696,Pennsylvania
aboutfacechi,false,6190,Illinois
LexaTheGreat,false,154,Texas
BoriquaGoddess,false,4770,
JayGrizly,false,200,
GunnetteP,false,4640,
MediaPhantom5,false,20423,
MOOCsNews,false,5440,
Casinocoder,false,2254,
Markeo3,false,321,
123puglet,false,1305,California
hdome251,false,3538,Florida
TexasVoterGuide,false,108,Texas
JBW227,false,832,Florida
glennrstevens,false,2145,Michigan
pbrasga,false,4432,
AlohaJackie1,false,28744,Hawaii
BrentStariha,false,383,Minnesota
datutigas,false,184,
CarolDunnack,false,1295,
pizzzza_time,false,44,Florida
alteileen,false,1068,Florida
Kiti642,false,522,
prieto1973,false,104,Florida
JonnyCPrice,false,2558,California
